word,raw_frequency
thick,1
thing's,1
thingie,1
"think,",1
thinking,1
thir,1
"this,",1
this?,1
thne,1
tho,1
though.,1
thre,1
threes,1
thriller,1
throwing,1
tiles,1
tilts,1
times,1
tine,1
tipped,1
"to,",1
today,1
toni,1
took,1
torso?,1
totally,1
"totally,",1
touchdownish,1
tough,1
tr,1
track,1
train,1
trap,1
trapaziod,1
trapezoidal,1
trapezoids,1
tri,1
triange,1
triangle?,1
triangle.,1
triangle's,1
trianglelike,1
triangler,1
"triangles,",1
trianlges,1
trickier,1
tricky,1
tripped,1
TRUE,1
tryna,1
tshirt,1
tto,1
tup,1
turn,1
twelfth,1
twleve,1
"two,",1
two's,1
tyhe,1
u,1
ugh,1
Uh-oh,1
uh...,1
uhhhh,1
uhhhhhh,1
"Um,",1
um.,1
umm...,1
Umm...?,1
"Ummm,",1
unclear,1
underpart,1
understand,1
understood,1
uniform,1
unused,1
Up,1
upright,1
"upwards,",1
upwasrds,1
uuun,1
vaguely,1
valid,1
variations,1
version,1
vertically,1
visual,1
visualising,1
visualizing,1
Wait,1
"wall-e,",1
Walle,1
wanted,1
water,1
Wave,1
"way,",1
wayand,1
ways,1
We'll,1
"well,",1
whale,1
whale...,1
What,1
whatpacman,1
wheras,1
Whereas,1
whether,1
whetherthat's,1
whoops,1
wicked,1
wierd.,1
wisconsin,1
With,1
wizard,1
wizardish,1
wonder,1
wonky,1
woo,1
word,1
work,1
wouldnt,1
wow,1
write,1
writing,1
wrong,1
XX,1
xxx...,1
xxxx,1
y,1
ya,1
yards,1
yeah..,1
Yep.,1
yknow,1
ymca,1
you'll,1
youd,1
youknow,1
zagging,1
ziggly,1
